lat,lng
31.77851238297871,-106.39274056382978
31.76263800000001,-106.49052
31.152728536211036,-97.45027245045877
31.744404000000007,-106.33187249999999
31.816627713233906,-106.55121538620033
31.816627713233906,-106.55121538620033
30.832323178999403,-102.02280955946338
31.771580582278474,-106.37721581012659
31.816631348274925,-106.55087345861979
31.76263800000001,-106.49052
28.964479098269273,-98.47625648442845
31.668482576775244,-106.24678484185225
31.816631348274925,-106.55087345861979
31.76263800000001,-106.49052
33.588687577548505,-102.39058073519972
30.053898000000007,-94.1402205
31.76263800000001,-106.49052
31.75991100000002,-106.50235050000002
30.838872358270365,-102.038626821408
33.18256756970606,-96.9993575181746
32.187312816001985,-101.48467782581241
31.867710000000045,-95.49563999999998
30.086150000000032,-94.10134999999997
30.086150000000032,-94.10134999999997
33.523870000000045,-101.87904999999995
32.285556,-99.82656899999999
33.20356000000004,-96.71822999999995
30.086150000000032,-94.10134999999997
30.838872358270365,-102.038626821408
29.985515665938866,-94.0011392554585
30.225770000000068,-96.09161999999998
28.042185103101254,-97.23263614908848
32.73088000000007,-96.55261999999999
32.754214651007345,-97.11029066616153
29.95139000000006,-95.73886999999996
32.876092111106495,-97.35130817235991
33.71117000000004,-97.16139999999996
30.464949949378394,-95.13992837641648
30.464949949378394,-95.13992837641648
33.71117000000004,-97.16139999999996
30.464949949378394,-95.13992837641648
30.464949949378394,-95.13992837641648
32.876092111106495,-97.35130817235991
